メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
[1人分]きんぴら(もっとクック専用),,[1人分]きんぴら(もっとクック専用),約115kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000036.jpg,"ごぼう: 1/4本(50g)
にんじん(細切り): 1/8本(25g)
酒: 大さじ1/2
みりん: 大さじ1/2
しょうゆ: 大さじ1/2
砂糖: 大さじ1/4
ごま油: 大さじ1/4","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 ごぼうは皮をむき、マッチ棒サイズの細切りにして水にさらしてアクを抜く。
3 内鍋に2、にんじん、[A]を入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → [1人分]きんぴら(もっとクック専用) → 調理を開始する → スタート
4 加熱後、混ぜ合わせて味をなじませる。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000036
[1人分]ナポリタン風パスタ(もっとクック専用),,[1人分]ナポリタン風パスタ(もっとクック専用),約393kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000034.jpg,"玉ねぎ(薄切り): 1/4個(50g)
スパゲティ(7分ゆで・太さ1.6mmのもの): 60g
水: 150mL
しめじ(小房に分ける): 1/2パック
ピーマン(細切り): 1/2個
ウインナー(5mm厚さの斜め切り): 2本
ケチャップ: 55g
塩: 適量","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に玉ねぎを入れ、その上に半分に折ったスパゲティを入れる。
3 2に残りの材料を材料表の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → [1人分]ナポリタン風パスタ(もっとクック専用) → 調理を開始する → スタート

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000034
[1人分]ひじきの煮物(もっとクック専用),,[1人分]ひじきの煮物(もっとクック専用),約119kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000035.jpg,"ひじき(乾燥): 8g
にんじん: 10g
干ししいたけ(水でもどす): 1枚
油揚げ(熱湯で油抜きする): 1/2枚
しいたけの戻し汁: 大さじ1と1/2
酒: 大さじ1/2
みりん: 大さじ1/2
しょうゆ: 大さじ1/2
砂糖: 大さじ1/4","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 ひじきは、約20分水につけてもどす。もどったら、2～3回水をかえてすすぎ水気を絞る。
3 にんじん、干ししいたけ、油揚げは細切りにする。
4 内鍋に3、2 、[A]の順に入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → [1人分]ひじきの煮物(もっとクック専用) → 調理を開始する → スタート
5 加熱後、混ぜ合わせて味をなじませる。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000035
[1人分]ピーマンのじゃこあえ(もっとクック専用),,[1人分]ピーマンのじゃこあえ(もっとクック専用),約60kcal,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000037.jpg,"ピーマン(細切り): 3個(90g)
ちりめんじゃこ: 10g
めんつゆ(3倍濃縮): 大さじ1","1 もっとクック(別売まぜ技ユニット)を本体にセットする。
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → オプションメニュー → 別売アクセサリー → 別売アクセサリーメニュー → [1人分]ピーマンのじゃこあえ(もっとクック専用) → 調理を開始する → スタート
3 加熱後、混ぜ合わせて味をなじませる。

もっとクックの紹介やご購入について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000037
アイスクリーム,0395,,約1226kcal(全量),3分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4395.jpg,"生クリーム(乳脂肪分40%以上): 200mL
砂糖: 大さじ4
バニラエッセンス　または　バニラビーンズ: 適量
牛乳: 100mL
卵黄: M2個","■事前準備
※内鍋、内ぶた、まぜ技ユニットについている油分、水分等はしっかり拭き取っておく。
※内鍋を冷蔵室に10分以上入れて冷やしておく。生クリームも直前まで冷蔵室に入れ、よく冷やしておく。
1 まぜ技ユニットを本体にセットする。
2 内鍋に[A]を入れて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0395(アイスクリーム) → 調理を開始する → スタート
3 調理後、全体をヘラなどでムラなく混ぜる。
※生クリームの種類により、とろみが異なります。
※アイスクリームの場合、とろみ具合がゆるくても問題ありません。
4 卵黄に牛乳を少しずつ加えて溶きのばしたものを3に少しずつ加えながら混ぜ合わせ、容器に入れてフタをし、冷凍室で冷やし固める。
※数時間で容器のまわりが固まってくるので、固まってくる途中で数回、全体をかき混ぜるとなめらかな仕上がりになります。
※牛乳・卵黄を入れた後、延長はしないでください。
ポイント
・生クリームは、直前まで冷蔵室に入れ、よく冷やしておいてください。
・気温や生クリームの温度状態によって、仕上がりが異なります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4395
アクアパッツァ,0019,,約572kcal(全量),25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4019.jpg,"れんこだい: 1尾(400～500g)
塩、こしょう: 各適量
あさり: 200g
プチトマト: 1パック(200g)
にんにく(みじん切り): 1かけ
白ワイン: 100mL
オリーブオイル: 大さじ2
ブラックオリーブ: 適量","1 たいはうろこを取ってエラと内臓を取り、きれいに洗って水気をきる。両面に塩、こしょうをふる。
2 クッキングシートをたいの幅に合わせて切って内鍋に敷き、1のたいをのせる。

↓
3 2に残りの全材料を入れ、本体にセットする。

メニューを選ぶ → メニュー番号で探す → No.0019(アクアパッツァ) → 調理を開始する → スタート
4 加熱後、やけどに気を付けてクッキングシートの両端を持ち、内鍋から取り出す。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4019
揚げ豚とオクラのみぞれあえ(ヘルシオデリ),,材料：2人分,約294kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000007.jpg,"揚げ豚・エリンギ: 1パック
たれ: 1パック
オクラ: 1パック
大根おろし: 2パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※オクラと大根おろしは、加熱中常温に置いておきます。
1 まぜ技ユニットを本体にセットする。
2 内鍋に揚げ豚、エリンギ、たれを入れ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → 煮物 → 肉 → 回鍋肉 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、やけどに気をつけながらふたを開け、ひと混ぜしたらオクラを入れ、延長で3分加熱する。
4 大根おろしを入れて混ぜる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000007
揚げ豚と白菜の和風生姜あん(ヘルシオデリ),,材料：3人分,約200kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000081.jpg,"具材（揚げ豚・白菜・にんじん・生姜）: 1パック
たれ: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※たれは、内鍋に入るやわらかさになるまで解凍する。（目安：流水1-2分） 全解凍の必要はありません。
1 まぜ技ユニットを本体にセットする。
2 内鍋に全材料を入れ、軽く混ぜ合わせて、本体にセットする。
手動で作る → 煮物を作る(まぜる） → 5分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000081
あさりと生姜の炊き込みご飯(ヘルシオデリ),,材料：4人分,約61kcal,60分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000166.jpg,"あさり・千切り生姜: 1パック
たれ（油揚げ入り）: 1パック
白米: 2合
水: 300mL","★右上の機種切替ボタンでお持ちの機種に切り替えてから、作り方のご確認をお願いします。
※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
1 内鍋に白米2合（洗って水をきる）、水300mL、あさり・生姜、たれ（油揚げ入り）の順に入れ軽く混ぜ、本体にセットする。
メニューを選ぶ → カテゴリーで探す → ごはん類 → ごはん → 2合 → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、混ぜる。
※炊飯器で炊く場合は、1の手順で炊飯してください。炊飯器によって炊き加減と調理時間が変わります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000166
「味ぽん」魯肉飯,0352,材料：2人分,約764kcal,45分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4352.jpg,"豚バラかたまり肉: 200g
ミツカン　味ぽん®: 1/2カップ
コーラ: 1/2カップ
フライドオニオン: 20g
五香粉: 小さじ1/4
ゆで卵: 1個
ごはん: 250g
パクチー: お好みで","1 まぜ技ユニットを本体にセットする。
2 豚肉は5mm×1cm幅程度の細切りにする。
3 内鍋に豚肉と[調味液]を入れる。
メニューを選ぶ → メニュー番号で探す → No.0352(「味ぽん」魯肉飯) → 調理を開始する → スタート
4 加熱後、ごはんの上にかけ、半分に切ったゆで卵を盛り、お好みでパクチーを添える。
※パクチーの代わりにチンゲンサイや小松菜などを添えても美味しくお召し上がりいただけます。
おすすめポイント
お肉と調味液をホットクックの内鍋に入れて設定するだけで、簡単に魯肉飯の具を作ることが出来ます。
五香粉の香りは控えめです。より本場の味を味わいたい方は五香粉を増やしてください。

★このレシピは「うちれぴ」とのコラボレーションによる、株式会社Mizkanご提供レシピです。


「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4352
