メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
アイスボックスクッキー,,約152kcal(5個),0.0g,22分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0203.jpg,"バター(柔らかくしたもの): 160g
砂糖: 100g
卵: L1個
バニラエッセンス: 少々
薄力粉[a]: 150g
薄力粉[b]: 130g
ココア: 15g","1 柔らかくしたバターと砂糖を白っぽくなるまで練り混ぜる。
2 溶いた卵を少しずつ加えてよく混ぜ、バニラエッセンスを加える。
3 2を半分に分けて一方に薄力粉[a]を加えてバニラ生地にする。もう一方には薄力粉[b]とココアを合わせてふるい入れ、ココア生地にする。
4 好みの形にし、3cm角(または直径3cm程度)の長さ28cmの棒状にととのえ、ラップに包んで冷凍室で1時間以上冷やし固める。ラップを取って6mm厚さに切り、少し多めにバター(分量外)をぬった2枚の角皿に並べる。
5 予熱する。(付属品・食品は入れません)
お料理選択 → メニュー検索 → カテゴリーから探す → お菓子・ドライフード → すべてのメニュー → クッキー → 分量選択 → スタート
6 予熱が完了すれば、4を上段と下段に入れる。(1段のときは上段に入れる。)
スタートを押す。
手動でするときは：オーブン・予熱あり2段の180℃で約22分
(1段は、予熱あり1段の180℃で約17分)
7 加熱後、熱いうちに角皿からはずして冷ます。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0203
アイスメレンゲ,2人分,,,3分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2114.jpg,"カップ入りアイスクリーム(市販品): 2個(110mLサイズ/個)
卵白: 1/2個分
砂糖: 小さじ２","1 水タンクに水を入れる。(水位1以上)
2 卵白はボウルに入れて、ツノが立つまで泡立て、砂糖を加えてさらに泡立てる。
3 アイスクリームの上に2を絞り出し、冷凍室で再びしっかり固める。
《ポイント》
・メレンゲは、アイスクリームから高さ4cm以内に絞り出してください。
4 角皿に調理網1枚をのせ、中央に3をのせる。角皿を上段に入れる。

※写真の付属品は、実際のものとは異なります。
手動調理 → あぶり焼き → 焼き色エリア[スポット]約2分30秒 → スタート
《ポイント》
・庫内が熱い時は、アイスクリームが溶けやすいので、うまく仕上がりません。庫内が充分に冷めてから、加熱してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2114
青菜のあえ物,4人分,約14kcal,0.5g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1098.jpg,"えのきだけ(半分に切ってほぐす): 60g
しいたけ(2mm幅の薄切り): 4個(60g)
チンゲン菜: 200g
しょうゆ: 小さじ2
練りからし: 適量(1g)","1 水タンクに水を入れる。(水位2)
2 [A]を金属製のザルに入れ、チンゲン菜とともに調理網にのせ、上段に入れる。
手動調理 → 蒸し物 → 約10分 → スタート
3 加熱後、[A]と水気を絞って5cmに切ったチンゲン菜を[B]であえる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1098
青煮,4人分,,60g,8分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0478.jpg,"ふき: 2本(60g)
きぬさや: 60g
白煮の煮汁(下記参照): 1カップ","1 水タンクに水を入れる。(水位2)
2 ふきは、洗って半分の長さに切る(半分の長さが角皿の幅より長くなる場合は、3等分に切る)。きぬさやは筋を取ってキッチンペーパーで包んでおく。
3 角皿の中央に調理網1枚をのせて2を並べ、上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → 蒸し物・低温調理 → 蒸し青野菜 → スタート
手動でするときは：蒸し物で約8分
4 加熱後、冷水に取って色止めし、ふきは皮をむいて5cm長さに切る。
5 底の平らな容器に白煮の煮汁を入れ、水気をきったふきときぬさやを加えて味がなじむまで漬けこむ。
■白煮の作りかたは、下記をクリックしてください。
白煮",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0478
青野菜のとろみあえ,4人分,約129kcal,0.8g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0516.jpg,"チンゲン菜: 300g
アスパラガス: 100g
そら豆(さや付き): 300～350g(正味100g)
絹さや(筋を取る): 60g
だし汁: 1カップ
みりん、薄口しょうゆ: 各大さじ1
砂糖: 小さじ1
片栗粉(同量の水で溶く): 大さじ1","1 水タンクに水を入れる。(水位2)
2 チンゲン菜は縦半分に切り、アスパラガスは固い部分を切り落とす。そら豆は、加熱後薄皮がむきやすいよう、少し皮をむいておく。
3 金ザルにそら豆と絹さやを入れてアスパラガスを並べる。
4 角皿に調理網をのせ、片側に3をのせて空いたスペースにチンゲン菜の茎と葉が交互になるように並べる。

※写真の付属品は、実際のものとは異なります。
5 4を上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → 蒸し物・低温調理 → 蒸し青野菜 → スタート → 強め(※30秒以内に押す)
手動でするときは：蒸し物で約10分
6 加熱している間に、[A]を煮詰めておく。
7 加熱後、チンゲン菜とアスパラガスは3～4cm長さに切る。そら豆は薄皮を取り、絹さやは半分に切る。
8 器に7を盛り、6をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0516
秋野菜のグリルのくるみソース添え,4人分,約127kcal,1.0g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1592.jpg,"なす: 1本
小かぶ: 1個
エリンギ: 100g
パプリカ(赤): 1/2個
くるみ: 40g
塩: 少々
こしょう: 少々
サラダ油: 大さじ1
しょうゆ: 大さじ1
はちみつ: 大さじ1/2
コチュジャン: 小さじ1
鶏がらスープの素: 小さじ1/2","1 水タンクに水を入れる。(水位1以上)
2 なす、小かぶ、エリンギ、パプリカはひと口大に切る。なすは水にさらし、水気をきっておく。
※エリンギ、パプリカ、なすはきもち大きめにカットします。
3 角皿にクッキングシートを敷いて2を並べ、塩、こしょう、サラダ油をまぶす。空いているスペースにくるみをのせる。
※ローストくるみの場合は、アルミホイルでくるみます。
4 角皿を上段に入れる。
まかせて調理 焼く → スタート
5 くるみは薄皮を除いてすり鉢でよくすり、[A]と合わせて鶏がらスープの素を加える。
6 器に野菜を盛り付け、5をかける。
レシピ提供：ボブとアンジー　監修：料理家　水野　恵",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1592
アクアパッツァ,4人分,約321kcal,1.2g,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2353.jpg,"たい: 4切れ(1切れ約100g)
塩、こしょう: 各適量
あさり: 200g
ミニトマト: 8個
にんにく (みじん切り): 2かけ
白ワイン: 大さじ2
オリーブオイル: 大さじ2
ブラックオリーブ: 適量
イタリアンパセリ: 適量","※このメニューはダウンロード限定メニューです。
※ヘルシオを機器登録して、メニューをダウンロードして加熱します。
1 水タンクに水を入れる。(水位2)
2 たいの両面に塩、こしょうをふる。あさりは塩水にしばらくつけて砂を出す。
3 耐熱容器に2のたいを重ならないように並べ、イタリアンパセリ以外の材料を加える。
4 角皿に3をのせ、上段に入れる。
COCORO KITCHEN → ダウンロードメニュー → アクアパッツァ → 決定 → スタート
※自動加熱のみです。手動加熱ではできません。
5 加熱後、イタリアンパセリを飾る。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2353
アクアパッツァ風紙包み蒸し,4人分,約321kcal,1.2g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1082.jpg,"魚の切り身(ひと口大に切る): 4切れ(1切れ約100g)
あさり: 約200g
ミニトマト: 8個
オリーブオイル、白ワイン: 各適量
ハーブソルト: 少々","1 水タンクに水を入れる。(水位2)
2 クッキングシートの端をホッチキスで止めて、舟形を作る。魚、あさり、ミニトマトを重ならないように入れ、[A]をかける。
3 角皿に調理網2枚をのせ、2を並べる。
4 3を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 蒸す・ゆでる → スタート
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1082
アクアパッツァ風紙包み蒸し＆たっぷり温野菜,,約1636kcal(全量),8.0g,23分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2341.jpg,"切り身魚(ひと口大に切る): 4切れ(1切れ100g)
あさり: 200g
ミニトマト: 8個
ハーブソルト: 少々
オリーブオイル: 適量
白ワイン: 適量
ブロッコリー: 400g
しめじ: 200g
赤パプリカ: 1/2個(80g)
黄パプリカ: 1/2個(80g)
にんにく(薄切り): 1かけ
塩: 小さじ1/2
赤とうがらし(輪切り): 適量
オリーブオイル: 大さじ1
白ワイン: 80mL","1 水タンクに水を入れる。(水位2)
■アクアパッツァ風紙包み蒸し
2 クッキングシートの端をホッチキスで止めて、舟型を作る。魚、砂出ししたあさり、ミニトマトを重ならないように入れ、[A]をかける。
3 角皿に調理網をのせ、2を並べて、上段に入れる。

■温野菜(彩り野菜のイタリアン蒸し)
4 ブロッコリー、しめじは小房に分け、パプリカは5mm幅の細切りにする。
5 角皿に市販のアミをのせてアルミホイルのフチを立てて、敷く。4を広げて入れ、[B]を振りかける。
6 5を下段に入れる。

まかせて調理 蒸す・ゆでる → 下段で同時調理 → +たっぷり温野菜 → スタート
7 加熱後、下段の野菜はよく混ぜ合わせる。
温野菜アレンジ例
彩り野菜のイタリアン蒸しを下記のメニューに代えて作ることもできます！
《細切り野菜のあえ物》
《さつまいものレモン煮》
《もやしベーコン》
《大根とにんじんのきんぴら風》
《キャベツのコンソメ風味》
《きのこバター》
《カラフル温野菜》
《ポテトサラダ》
《大根のキムチあえ》
《ナムル2種》
《野菜の焼きびたし》
《豆苗のサッと煮》
※まかせて調理(蒸す・ゆでる)&たっぷり温野菜のときは、角皿に市販のアミをのせ、その上に食材をのせて下さい。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2341
揚げシュウマイ(市販のシュウマイで),4人分,,,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1052.jpg,"市販の冷蔵または冷凍シュウマイ: 2袋
サラダ油: 適量","1 水タンクに水を入れる。(水位1以上)
2 角皿に調理網2枚をのせる。
3 シュウマイにサラダ油をまぶし、調理網の中央寄りに並べる。
4 3を上段に入れる。
まかせて調理 網焼き・揚げる → スタート → 弱め(※30秒以内に押す)
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1052
